Date;Nb;Indiv;Species;Paire;Essai;Heure;Zone_T;Zone_B;Touche_T;Touche_B;Coucou;Dummy_T;Dummy_B;Dummy_BB;Paires;App_conspe;App_non_conspe;Touch_conspe;Touch_non_conspe
18/03/2023;53;422;bristowi;2;3;10:39;12;7;3;1;NA;2;2;2;3;7;12;1;3
16/03/2023;54;408;bristowi;2;1;10:57;2;6;0;2;NA;2;2;2;3;6;2;2;0
17/03/2023;54;408;bristowi;2;2;10:04;3;11;0;5;NA;2;2;2;3;11;3;5;0
18/03/2023;54;408;bristowi;2;3;10:49;0;3;0;3;NA;2;2;2;3;3;0;3;0
16/03/2023;55;407;bristowi;2;1;11:31;0;0;0;0;NA;2;2;2;3;0;0;0;0
17/03/2023;55;407;bristowi;2;2;10:16;3;4;0;0;NA;2;2;2;3;4;3;0;0
18/03/2023;55;407;bristowi;2;3;10:36;0;0;0;0;NA;2;2;2;3;0;0;0;0
17/03/2023;56;390;bristowi;2;1;09:41;0;4;0;0;NA;2;2;2;3;4;0;0;0
18/03/2023;56;390;bristowi;2;2;10:14;0;1;0;0;NA;2;2;2;3;1;0;0;0
19/03/2023;56;390;bristowi;2;3;10:35;1;2;0;1;NA;2;2;2;3;2;1;1;0
17/03/2023;57;410;bristowi;2;1;09:53;1;4;0;0;NA;2;2;2;3;4;1;0;0
18/03/2023;57;410;bristowi;2;2;11:00;6;5;0;0;NA;2;2;2;3;5;6;0;0
19/03/2023;57;410;bristowi;2;3;10:24;12;12;0;0;NA;2;2;2;3;12;12;0;0
15/02/2023;1;205;theodorus;2;2;09:31;0;0;0;0;non;1;1;1;2;0;0;0;0
14/02/2023;1;205;theodorus;2;1;12:26;1;3;0;0;oui;1;1;1;2;1;3;0;0
16/02/2023;1;205;theodorus;2;3;11:40;5;6;0;0;oui;1;1;1;2;5;6;0;0
16/02/2023;2;215;theodorus;2;3;12:30;0;0;0;0;non;1;1;1;2;0;0;0;0
14/02/2023;2;215;theodorus;2;1;11:26;2;1;0;0;oui;1;1;1;2;2;1;0;0
15/02/2023;2;215;theodorus;2;2;09:55;4;7;0;0;oui;1;1;1;2;4;7;0;0
16/02/2023;3;104;theodorus;2;3;11:30;0;0;0;0;non;1;1;1;2;0;0;0;0
14/02/2023;3;104;theodorus;2;1;11:38;2;1;0;0;oui;1;1;1;2;2;1;0;0
15/02/2023;3;104;theodorus;2;2;10:43;5;2;1;0;oui;1;1;1;2;5;2;1;0
